Bill of Lading Number,Shipment Date,Matching Fields,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper SPCIQ ID,Shipper MI Key,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Incorporation Year,Shipper Trade Roles,Shipper SIC Codes,Shipper Stock Tickers,Shipper (Original Format),Shipper Global HQ,Shipper Global HQ Address,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ,Shipper Domestic HQ Address,Shipper Domestic HQ D-U-N-S®,Shipper Ultimate Parent,Shipper Ultimate Parent Website,Shipper Ultimate Parent Headquarters Address,Shipper Ultimate Parent Profile,Shipper Ultimate Parent SPCIQ ID,Shipper Ultimate Parent MI Key,Shipper Ultimate Parent Stock Tickers,Carrier,Shipment Destination,Port of Lading,Port of Lading Region,Port of Lading Country,Port of Unlading,Port of Unlading Region,Port of Unlading Country,Place of Receipt,Vessel,Vessel Country,Vessel SCAC,Transport Flight Code,Is Containerized,Volume (TEU),Item Quantity,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Equipment Type,Equipment Dimensions,Industry - GICS,Industry - GICS Description,Container Number,HS Code,Goods Shipped,Container Quantities,Divided/LCL
LI7405,2023-01-05,,Mikro,1701 Blount Road,Pompano Beach,Florida,33069,United States,"1701 Blount Rd, Pompano Beach, FL 33069, USA",,,,,,,,,,https://panjiva.com/Mikro/133145538,,,,,,,,,Manufacturer,,,Mikro,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,74,,,6,10850.0,10.85,10.85,4000.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
LI7405,2023-01-05,,Mikro,1701 Blount Road,Pompano Beach,Florida,33069,United States,"1701 Blount Rd, Pompano Beach, FL 33069, USA",,,,,,,,,,https://panjiva.com/Mikro/133145538,,,,,,,,,Manufacturer,,,Mikro,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,74,,,1,1270.0,1.27,1.27,200.0,,,15102010,Construction Materials,,2523.90,CEMENT BOARD,,
LI7405,2023-01-05,,Wholesale Bldg,,Hollywood,Florida,33019,United States,"Hollywood, FL 33019, USA",,,,,,,,,,https://panjiva.com/Wholesale-Bldg/133037540,,,,,,,,,,,,Wholesale Bldg,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,74,,,8,13730.0,13.73,13.73,5100.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
7475112A,2023-01-05,,Magnum Freight,2600 Nw 75th Ave Ste 100,Miami,Florida,33122-1402,,"2600 Nw 75th Ave Ste 100, Miami Florida 33122-1402, United States",,,,,,,,,,https://panjiva.com/Magnum-Freight/132993711,82516783.0,8157719.0,,Air Freight and Logistics,,62.0,,1993.0,Logistics,,,Magnum Freight,,,,,,,Magnum Freight Corporation,www.magnumfreight.com,"2600 Nw 75th Ave Ste 100, Miami Florida 33122-1402, United States",https://panjiva.com/Magnum-Freight-Corporation/57261798,82516783.0,8157719.0,,SMLU - Seaboard Marine Ltd,Colombia,"Port Of Entry-Miami Seaport, Miami, Florida",Southeast Region,United States,"Cartagena, Colombia",South America,Colombia,MIAMI,AS SAVANNA,Portugal (Mar),SMLU - Seaboard Marine Ltd,00080,,,4,8500.0,8.5,8.5,204000.0,,,20106020,Industrial Machinery,,8414.90,UNIT STC  PARTIAL DISPATCH OF  THE JOINT GRINDING AND CEMENT  MIXING  FUNCTIONAL UNIT OF THE CT STAGE   CEMENT  GRINDING COMPOSED OF  ONE 1 MAIN FAN WITH PARTS AND  ACCESSORIES FOR NORMAL OPERATION.  FIRST DISPATCH  DESPACHO PARCIAL DE LA UNIDAD  FUNCIONAL  MOLIENDA CONJUNTA Y MEZCLADO DE  CEMENTO DE LA ETAPA CT  MOLIENDA  CEMENTO COMPUESTO POR  UN 1 VENTILADOR PRINCIPAL CON  PARTES Y  ACCESORIOS PARA NORMAL  FUNCIONAMIENTO.  PRIMER DESPACHO  AESITNX20230104239860  UNIT STC  PARTIAL DISPATCH OF  THE JOINT GRINDING AND CEMENT  MIXING  FUNCTIONAL UNIT OF THE CT STAGE   CEMENT  GRINDING COMPOSED OF  ONE 1 MAIN FAN WITH PARTS AND  ACCESSORIES FOR NORMAL OPERATION.  FIRST DISPATCH  DESPACHO PARCIAL DE LA UNIDAD  FUNCIONAL  MOLIENDA CONJUNTA Y MEZCLADO DE  CEMENTO DE LA ETAPA CT  MOLIENDA  CEMENTO COMPUESTO POR  UN 1 VENTILADOR PRINCIPAL CON  PARTES Y  ACCESORIOS PARA NORMAL  FUNCIONAMIENTO.  PRIMER DESPACHO  AESITNX20230104239860  MACHINERY CASING  MACHINERY CASING  MACHINERY CASING 4PA,,
SMLU7475112A,2023-01-05,,Magnum Freight Corporation,2600 Nw 75th Ave Ste 100,Miami,Florida,33122-1402,,"2600 Nw 75th Ave Ste 100, Miami Florida 33122-1402, United States",imports@magnumfreight.com,imports7@magnumfreight.com,jgomez@magnumfreight.com,+1 305 269 0900,,,+1 305 269 1140,,,https://panjiva.com/Magnum-Freight-Corporation/4084630,82516783.0,8157719.0,809799018.0,Air Freight and Logistics,6501927.0,62.0,,1993.0,"Logistics, Wholesale",4731,,Magnum Freight Corp,Magnum Freight Corporation.,"2600 NW 75th Ave, Miami, FL 33122, USA",,Magnum Freight Corporation.,"2600 NW 75th Ave, Miami, FL 33122, USA",809799018.0,Magnum Freight Corporation,www.magnumfreight.com,"2600 Nw 75th Ave Ste 100, Miami Florida 33122-1402, United States",https://panjiva.com/Magnum-Freight-Corporation/57261798,82516783.0,8157719.0,,SMLU - Seaboard Marine Ltd,Colombia,"Port Of Entry-Miami Seaport, Miami, Florida",Southeast Region,United States,"Cartagena, Colombia",South America,Colombia,,As Savanna,,SMLU - Seaboard Marine Ltd,,,,See 'Container Quantities' column,8500.32,8.50032,8500.32 kg,108000.0,,,20106010,Construction Machinery & Heavy Trucks,,Classified: 8474.20,"4 UNIT STC
PARTIAL DISPATCH OF
THE ""JOINT GRINDING AND CE
MENT
MIXING""
FUNCTIONAL UNIT OF THE CT
STAGE -
CEMENT
GRINDING: COMPOSED OF:
ONE (1) MAIN FAN WITH PART
S AND
ACCESSORIES FOR NORMAL OPE
RATION.
FIRST DISPATCH
DESPACHO PARCIAL DE LA UNI
DAD
FUNCIONAL
""MOLIENDA CONJUNTA Y MEZCL
ADO DE
CEMENTO"" DE LA ETAPA CT -
MOLIENDA
CEMENTO: COMPUESTO POR:
UN (1) VENTILADOR PRINCIPA
L CON
PARTES Y
ACCESORIOS PARA NORMAL
FUNCIONAMIENTO.
PRIMER DESPACHO
AES#ITN-X20230104239860
N CONTENEDOR SMLU 640137 4", ,
OOLU2711955340,2023-01-05,,Binex Line Corp.,19515 South Vermont Avenue,Torrance,California,90502,,"19515 South Vermont Avenue, Torrance California 90502, United States",,,,+1 718 723 3900,,,,,,https://panjiva.com/Binex-Line-Corp/30845024,4568804.0,7186904.0,927691063.0,Air Freight and Logistics,,250.0,,1995.0,Logistics,"2392, 4731",,Binex Line Corp.,Binex Line Corp. La Office,"19515 Vermont Avenue, Torrance, CA 90502, USA",,Binex Line Corp. La Office,"19515 Vermont Avenue, Torrance, CA 90502, USA",927691063.0,Binex Line Corporation,www.binexline.com,"19515 South Vermont Avenue, Torrance California 90502, United States",https://panjiva.com/Binex-Line-Corporation/56831043,4568804.0,7186904.0,,OOLU - Orient Overseas Container Line Ltd,,"New York/Newark Area, Newark, New Jersey",New York Region,United States,"Shanghai, China",Eastern Asia,China,,Ever Lotus,,OOLU - Orient Overseas Container Line Ltd,051W,,,19 SD,19184.0,19.184,19184 KG,75200.0,,"L: unknown
H: unknown
W: unknown",15102010,Construction Materials,,Classified: 6810.99,CEMENT,,
1,2023-01-04,,Intl Materials Inc.,327 Plaza Real,Boca Raton,Florida,33432,United States,"327 Plaza Real #320, Boca Raton, FL 33432, USA",,,,+1 561 705 0350,,,,,,https://panjiva.com/Intl-Materials-Inc/31825099,,,187846217.0,,51070647.0,140.0,,1987.0,,6221,,International Materials,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,TCT 8000,CANADA,LCIR - Lafarge Canada Inc,24286,,,1,7800000.0,7800.0,7800.0,3822000.0,,,15102010,Construction Materials,,2520.10,GYPSUM,,
85163,2023-01-03,,Various Shippers,601 Mulberry Street,North Judson,Indiana,46366,United States,"601 Mulberry St, North Judson, IN 46366, USA",,,,,,,,,,https://panjiva.com/Various-Shippers/38699253,,,,,,,,,Logistics,,,Various Shippers,,,,,,,,,,,,,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,851,,,22,40520.0,40.52,40.52,6500.0,,,15102010,Construction Materials,,2523.90; 2523.90,PORTLAND & MASONRY CEMENT; PORTLAND & MASONRY CEMENT,; ,
85109,2023-01-03,,Various Shippers,601 Mulberry Street,North Judson,Indiana,46366,United States,"601 Mulberry St, North Judson, IN 46366, USA",,,,,,,,,,https://panjiva.com/Various-Shippers/38699253,,,,,,,,,Logistics,,,Various Shippers,,,,,,,,,,,,,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,851,,,1,310.0,0.31,0.31,3500.0,,,20106010,Construction Machinery & Heavy Trucks,,8474.31,CEMENT MIXER,,
85162,2023-01-03,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,851,,,11,20260.0,20.26,20.26,3200.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
85162,2023-01-03,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,851,,,11,17570.0,17.57,17.57,2800.0,,,15102010,Construction Materials,,2523.90,PORTLAND & MASONRY CEMENT,,
85356,2023-01-03,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,853,,,30,90690.0,90.69,90.69,14500.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
IILU131284200,2023-12-29,,Worldbridge Logistics Inc.,,,,,,United States,,,,,,,,,,https://panjiva.com/Worldbridge-Logistics-Inc/88504131,4609175.0,11277878.0,,Air Freight and Logistics,,140.0,,,"Manufacturer, Logistics",,,Worldbridge Logistics Inc,,,,,,,Worldbridge Logistics Inc.,,United States,https://panjiva.com/Worldbridge-Logistics-Inc/64295862,4609175.0,11277878.0,,IILU - Independent Container Line Ltd,,"Wilmington, Wilmington, North Carolina",Southeast Region,United States,"Antwerp, Belgium",Western Europe,Belgium,,Independent Future,,IILU - Independent Container Line Ltd,926E-E,,,5 PCS,4603.508963130001,4.60350896313,10149 LB,1800.0,,"L: unknown
H: unknown
W: unknown",15102010,Construction Materials,,Parsed: 2520.10,GYPSUM HS:2520.10  HARMONIZED CODE: 252010  X 20231222843151,,
PEVABH018624,2023-12-26,,Sgm,,Pompano Beach,Florida,33060,United States,"Pompano Beach, FL 33060, USA",,,,,,,,,,https://panjiva.com/Sgm/132960034,,,,,,,,,Manufacturer,,,Sgm,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,SEA EXPRESS II,Antigua & Barbuda,SILJ - Seacor Island Lines,1174S,,,1,23020.0,23.02,23.02,3700.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS CEMENT IT AES ITN X20231215482638,,
89965,2023-12-11,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,899,,,42,62500.0,62.5,62.5,11300.0,,,15102010,Construction Materials,,2523.90,PORTLAND AND MASONRY CEMENT,,
OUGUA1823001,2023-12-07,,Oilfield Equipment Components,1211 Hackberry Avenue,McAllen,Texas,78501,United States,"1211 Hackberry Ave, McAllen, TX 78501, USA",,,,,,,,,,https://panjiva.com/Oilfield-Equipment-Components/133173447,,,,,,,,,Manufacturer,,,Oilfield Equipment Components,,,,,,,,,,,,,,BBCH - Bbc Chartering & Logistic Gmbh & Co Kg,Ecuador,"Houston, Houston, Texas",Southwest Region,United States,"Guayaquil, Ecuador",South America,Ecuador,HOUSTON,SL MIDWAY,United States Of America,BBCH - Bbc Chartering & Logistic Gmbh & Co Kg,18,,,4,3270.0,3.27,3.27,520.0,,,15102010,Construction Materials,,2523,DRLG MUD CEMENT DISPERSANT UN3082,,
PEVABH018540,2023-12-05,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,VI-NAIS,Vanuatu,SILJ - Seacor Island Lines,501S,,,1,23020.0,23.02,23.02,3700.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS CEMENT IT INC. AES ITN X20231204743567,,
PEVABH018511,2023-12-05,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,VI-NAIS,Vanuatu,SILJ - Seacor Island Lines,501S,,,1,80670.0,80.67,80.67,12900.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS 8 PL CEMENT BAGS 272 BAGS CEMENT IT AES ITN X20231127334494,,
89861,2023-12-04,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,898,,,28,41140.0,41.14,41.14,7400.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
89718,2023-12-04,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,897,,,60,82270.0,82.27,82.27,14800.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
PEVHIS010995,2023-12-04,,Seacor Island Lines,1300 Eller Drive,Fort Lauderdale,Florida,33316-4216,,"1300 Eller Drive, Fort Lauderdale Florida 33316-4216, United States",,,,,,,,,,https://panjiva.com/Seacor-Island-Lines/133102386,30690158.0,7468917.0,,Marine,,150.0,,1990.0,"Manufacturer, Wholesale",,,Seacor Island Lines,,,,,,,King Ocean Services Ltd.,www.kingocean.com,"13155 NW 19th Lane, Sweetwater Florida 33182, United States",https://panjiva.com/King-Ocean-Services-Ltd/65362029,585973458.0,11260458.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CARIBBEAN EXPRESS I,Antigua & Barbuda,SILJ - Seacor Island Lines,1954S,,,1,32690.0,32.69,32.69,5200.0,,,15102010,Construction Materials,,2523,11 BR CEMENT 495 BAGS TRICO INTERNATIONAL INC. AES ITN X20231110562234 SHIPPED AT CONSIGNEE RISK 7 PL QUIKRETE 294 BAGS WHOLESALE BUILDING PRODUC AES ITN X20231122215291,,
PEVABH018443,2023-12-02,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CAPE EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1886S,,,1,23020.0,23.02,23.02,3700.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS CEMENT IT AES ITN X20231127334494,,
PEVNCA000590,2023-06-24,,Wholesale Bldg Products,2639 West 3rd Avenue,Hialeah,Florida,33010,United States,"2639 W 3rd Ave, Hialeah, FL 33010, USA",,,,,,,,,,https://panjiva.com/Wholesale-Bldg-Products/133144636,,,,,,,,,,,,Wholesale Building Products,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CAPE EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1845S,,,1,0.0,0.0,0,,,,15102010,Construction Materials,,2523.90,1 CT 20FR SEGU7606616 SEAL NA 6 PL PORTLAND CEMENT 270 BAGS 1 PL BUILDING MATERIALS WHOLESALE 091598 AES ITN X20230621712827 1 BD LUMBER 1637 WHOLESALE 091597 NOEEI 30.37A CONSIGNEE RISK DECLARED VALUE PREPAID PROHIBITED. NONNEGOTIABLE ARE WERE EXPORTED FROM THE UNITED STATES IN ACCORDANCE WITH EXPORT ADMINISTRATION REGULATI SUBJECT TO EXTRA FREIGHT FREIGHT & CHARGES COLLECT FREIGHT PAYABLE ATBY IN WITNESS WHERE OF THE MASTER OF AGEN BEING ACCOMPLISHED THE OTHERS TO STA AFFIRMED TO BILL OF LADING ALL OF THIS . DATED AT PORT EVERGLADES FL US BY NAME OF AGENT PER FOR THE MASTER PAGE. 1 TERMS OF BI,,
PEVGC120895,2023-06-22,,Malvar Freight Forwarding Llc,4141 Northwest 36th Avenue,Miami,Florida,33142,United States,"4141 NW 36th Ave, Miami, FL 33142, USA",,,,+1 305 638 1770,,,+1 305 638 4770,,,https://panjiva.com/Malvar-Freight-Forwarding-Llc/10105855,,,,,1637911.0,8.0,,1969.0,"Manufacturer, Logistics, Wholesale",4731,,Malvar Freight Forwarding Service,,,,,,,,,,,,,,HYBU - Hybur Ltd,Cayman Islands,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Georgetown, Cayman Islands",Caribbean,Cayman Islands,PT EVERGLADES,BF FORTALEZA,Cyprus,HYBU - Hybur Ltd,028SB,,,14,21650.0,21.65,21.65,3900.0,,,15102010,Construction Materials,,2523,1581055 SEAL10410453233173 SLAC. 14 PALLETS CEMENT CONCRETE MARQUIS MIAMI BLUE AES ITN X20230620630893 SHIPPER OWNED,,
SPCTPRG46766,2023-06-21,,Boston Whaler,100 Whaler Way,Edgewater,Florida,32141,,"100 Whaler Way, Edgewater Florida 32141, United States",,,,,,,,,,https://panjiva.com/Boston-Whaler/133177406,25726.0,6330106.0,,Leisure Products,,400.0,,1958.0,,,,Boston Whaler,,,,,,,Brunswick Corporation,www.brunswick.com,"26125 North Riverwoods Boulevard, Suite 500, Mettawa Illinois 60045-3420, United States",https://panjiva.com/Brunswick-Corporation/57275443,171649.0,4558091.0,NYSE:BC,LPUS - Linea Peninsular Inc,Mexico,"Port Panama City  Florida, Panama City, Florida",South Central Region,United States,"Progreso, Mexico",North America,Mexico,PANAMA CY FL,JUAN DIEGO,Cyprus,LPUS - Linea Peninsular Inc,4456S,,,2,100.0,0.1,0.1,77.0,,,15102010,Construction Materials,,2517.49,CUSHIONS RECEIVED WITH BOXES CRUSHED  LINEA PENINSULAR NOT RESPONSIBLE FOR DAMAGES,,
PEVABH016707,2023-06-20,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,EMERALD EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1696S,,,1,23020.0,23.02,23.02,4100.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS CEMENTIT INC. AES ITN X20230614337600,,
87546,2023-06-19,,Blue Linx,3201 Northwest 110th Street,Miami,Florida,33167,United States,"3201 NW 110th St, Miami, FL 33167, USA",,,,,,,,,,https://panjiva.com/Blue-Linx/132884726,,,,,,,,,,,,Blue Linx,,,,,,,,,,,,,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,875,,,5,6080.0,6.08,6.08,1000.0,,,15102010,Construction Materials,,2523.90,CEMENT BOARD,,
1027071GL01,2023-06-17,,Kronos,,Bellevue,Washington,,,"Bellevue Washington, United States",,,,,,,,,,https://panjiva.com/Kronos/155790694,1246984.0,5031004.0,,Software,,,,,Logistics,,,Kronos,,,,,,,Kronos Advanced Technologies Inc.,kronosati.co,"2501 Garfield Avenue, Parkersburg West Virginia 61018, United States",https://panjiva.com/Kronos-Advanced-Technologies-Inc/59379817,688587.0,4992654.0,OTCPK:KNOS,BBHY - Bbc Chartering Carriers Gmbh & Co Kg,Mexico,"Port of Lake Charles, Lake Charles, Louisiana",Southwest Region,United States,"Veracruz, Mexico",North America,Mexico,LK CHARLES,BBC CAMPANA,Antigua & Barbuda,BBHY - Bbc Chartering Carriers Gmbh & Co Kg,V084,,,1,7369250.0,7369.25,7369.25,2727000.0,,,15101010,Commodity Chemicals,,2827.20,TITANIA CHLORIDE SLAG UPGRADED,,
