bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
MTMANCC2401201B,Simple,3/5/2024,"HELM FERTILIZER CORPORATION
401 E. JACKSON ST SUITE 1400
TAMPA, FL 33602","METHANOL HOLDINGS (TRINIDAD)
Atlantic Avenue
Point Lisas Industrial Estate Couva
Trinidad and Tobago",METHANOL HOLDINGS TRINIDAD LIMITED,HELM,MTMA - Mt Maritime Management (Usa) Llc,"HELM FERTILIZER CORPORATION
401 E. JACKSON ST SUITE 1400, TAMPA, FL 33602",Trinidad and Tobago,"Alabama State Port Authority, Mobile, Alabama",South Central Region,South Central Region,Mobile,South Central Region,"Point Lisas, Trinidad and Tobago",Trinidad and Tobago,POINT LISAS,NCC NOOR,12,9399260,1 BLK, ,9479,9479 ET,5242000,15101030,Classified: 3105.20,"UREA AMMONIUM NITRATE - IN BULK 9, 479. 000 METRIC TONS",Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
MTMANCC2401201A,Simple,3/3/2024,"HELM FERTILIZER CORPORATION
401 E. JACKSON ST SUITE 1400
TAMPA, FL 33602","METHANOL HOLDINGS (TRINIDAD)
Atlantic Avenue
Point Lisas Industrial Estate Couva
Trinidad and Tobago",METHANOL HOLDINGS TRINIDAD LIMITED,HELM,MTMA - Mt Maritime Management (Usa) Llc,"HELM FERTILIZER CORPORATION
401 E. JACKSON ST SUITE 1400, TAMPA, FL 33602",Trinidad and Tobago,"Tampa, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"Point Lisas, Trinidad and Tobago",Trinidad and Tobago,POINT LISAS,NCC NOOR,12,9399260,1 BLK, ,9500,9500 ET,5254000,15101030,Classified: 3105.20,"UREA AMMONIUM NITRATE - IN BULK 9, 500. 000 METRIC TONS",Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
MTMAMAM2204001,Simple,1/7/2023,"HELM FERTILIZER CORPORATION
401 E. JACKSON ST SUITE 1400
TAMPA, FL 33602","METHANOL HOLDINGS (TRINIDAD)
Atlantic Avenue
Point Lisas Industrial Estate Couva
Trinidad and Tobago",METHANOL HOLDINGS TRINIDAD LIMITED,HELM,MTMA - Mt Maritime Management (Usa) Llc,"HELM FERTILIZER CORPORATION
401 E. JACKSON ST SUITE 1400, TAMPA, FL 33602",Trinidad and Tobago,"Houston, Houston, Texas",Southwest Region,Southwest Region,"Houston, Galveston",Southwest Region,"Point Lisas, Trinidad and Tobago",Trinidad and Tobago,POINT LISAS,MTM AMSTERDAM,40,9776444,1 BLK, ,12503,12503 ET,5501000,15101030,Classified: 3102.80,"UREA AMMONIUM NITRATE (UAN) 32% SOLUTION - IN BULK 12, 503. 470 METRIC TONS",Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
DMALSHAH18907,House,1/28/2025,"MINERACAO AURIZONA S/A
VL DE AURIZONA S/N
GODOFREDO VIANA BR","MARQUIMM NETHERLANDS B.V
SCHINKELDIJKJE 16H
AALSMEER NL",MARQUIMM NETHERLANDS B.V,MINERACAO AURIZONA S/A,DMAL - Danmar Lines Ltd,"MINERACAO AURIZONA S/A
VL DE AURIZONA S/N, GODOFREDO VIANA BR",Netherlands,Brazil,,,South Texas Ports,Southwest Region,"Tsingtao, China",China,QINGDAO,ASPEN ARROW,2407,9423566,460 BAG,6 CM,622.84,622840 KG,219000,15101010,Classified: 2832.10,SODIUM METABISULPHITE,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWPOA23072A,Simple,3/23/2025,"MANUCHAR COMERCIO EXTERIOR LTDA
MANUCHAR COMERCIO EXTERIOR LTDA AVE
NIDA ASSEDIPE, S/N - GALPAO A DISTR
ITO INDUSTRIAL - ABREU E LIMA CEP
53520-785 CNPJ: 86.907.235/0013-10","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR COMERCIO EXTERIOR LTDA
MANUCHAR COMERCIO EXTERIOR LTDA AVE, NIDA ASSEDIPE, S/N - GALPAO A DISTR, ITO INDUSTRIAL - ABREU E LIMA CEP:, 53520-785 CNPJ: 86.907.235/0013-10",Belgium,Peru,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,1 UNT, ,1738,1738000 K,441000,15101010,Parsed: 2833.11.10,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 1 2ND NOTIFY PARTY: UNILEVER ASIA PRIVATE LIMIT 18 NEPAL PARK SINGAPORE 139407 UAPL PO: 4527922579 BULK - GRANEL 1. 738, 000 MT - SODIUM SULPHATE ANHYDROUS (1. 738, 000 TM SULFATO DE SODIO) NCM: 2833. 11. 10 FREIGHT: 36, 45 / MT FIOS FREE IN/FREE OUT, SHIPPED ON BOARD FREIGHT PAYABLE AS PER CHARTER PARTY Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPOA23072H,Simple,3/23/2025,"MANUCHAR COMERCIO EXTERIOR  LTDA
MANUCHAR COMERCIO EXTERIOR  LTDA RU
A ALEXANDRE RICARDO RODRIGUES DE LO
TE II DA GLEBA C1 - QUADRA C1 LOT I
GARASSU A   IGARASSU, PE - BRAZIL C","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR COMERCIO EXTERIOR  LTDA
MANUCHAR COMERCIO EXTERIOR  LTDA RU, A ALEXANDRE RICARDO RODRIGUES DE LO, TE II DA GLEBA C1 - QUADRA C1 LOT I, GARASSU A   IGARASSU, PE - BRAZIL C",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,130 BAG, ,130.59,130588 K,219000,15101010,Parsed: 2832.10; Parsed: 2836.99,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 130 BAGS OF 25 KGS IN 130 BIG BAGS OF 1. 000KG (SA 1) 33, 000 MT - SODIUM BICARBONATE FOOD GRADE 2) 25, 000 MT - SODIUM METABISULPHITE FOOD GRA CBM: 25, 00 GROSS WEIGHT: 25, 075MT NCM: 2832. 10 3) 12, 000 MT - AMMONIUM BICARBONATE (12, 000MT CBM: 12, 00 GROSS WEIGHT: 12, 024MT NCM: 2836. 99 4) 50, 000 MT - AMMONIUM BICARBONATE (50, 000MT CBM: 50, 00 GROSS WEIGHT: 50, 323MT NCM: 2836. 99 5) 10, 000 MT - POTASSIUM CARBONATE GRANULES 9 FREIGHT: 36, 45 / MT FIOS FREE IN/FREE OUT SHIPPED ON BOARD FREIGHT PAYABLE AS PER CHART PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPOA23072V,Simple,3/23/2025,"MANUCHAR COMERCIO EXTERIOR  LTDA
MANUCHAR COMERCIO EXTERIOR  LTDA RU
A ALEXANDRE RICARDO RODRIGUES DE LO
TE II DA GLEBA C1 - QUADRA C1 LOT I
GARASSU A   IGARASSU, PE - BRAZIL C","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR COMERCIO EXTERIOR  LTDA
MANUCHAR COMERCIO EXTERIOR  LTDA RU, A ALEXANDRE RICARDO RODRIGUES DE LO, TE II DA GLEBA C1 - QUADRA C1 LOT I, GARASSU A   IGARASSU, PE - BRAZIL C",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,30 BAG, ,30.24,30240 K,38100,15101010,Parsed: 2922.41,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 30 BAGS OF 25 KGS IN 30 BIG BAGS OF 1. 000KG (SACOS DE 25KGS EM 30 SUPER SACOS DE 1. 000KG) 30, 000 MT - L-LYSINE MONOHYDROCHLORIDE 98, 5%M (30, 000MT DE L-LISINA MONO-HIDROCLORETO 98, 5% NCM: 2922. 41. 90 FREIGHT: 36, 45 / MT FIOS FREE IN/FREE OUT SHIPPED ON BOARD FREIGHT PAYABLE AS PER CHART PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPOA23072G,Simple,3/23/2025,"MANUCHAR COMERCIO EXTERIOR  LTDA
MANUCHAR COMERCIO EXTERIOR  LTDA RU
A ALEXANDRE RICARDO RODRIGUES DE LO
TE II DA GLEBA C1 - QUADRA C1 LOT I
GARASSU A   IGARASSU, PE - BRAZIL C","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR COMERCIO EXTERIOR  LTDA
MANUCHAR COMERCIO EXTERIOR  LTDA RU, A ALEXANDRE RICARDO RODRIGUES DE LO, TE II DA GLEBA C1 - QUADRA C1 LOT I, GARASSU A   IGARASSU, PE - BRAZIL C",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,28 BAG, ,28.17,28168 K,6400,15101010,Parsed: 2827.10.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 28 BAGS OF 25 KGS IN 28 BIG BAGS OF 1. 000KG (SACOS DE 25KGS EM 28 SUPER SACOS DE 1. 000KG) 28, 000 MT - AMMONIUM CHLORIDE TECHNICAL GRADE (28, 000MT CLORETO DE AMONIO GRAU TECNICO) NCM: 2827. 10. 00 FREIGHT: 36, 45 / MT FIOS FREE IN/FREE OUT SHIPPED ON BOARD FREIGHT PAYABLE AS PER CHART PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD WITHOUT ANY PACKING OR SHIPPING MARK TO SHOW Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPOA23072Y,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,1000 BAG, ,1256,1256000 K,147000,15101030,Parsed: 3102.60.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 1000 BAGS OF 25 KG IN 1. 000 BIG BAGS OF 1. 250 KG (SACOS DE 25KG EM 1. 000 SUPER SACOS DE 1. 250 1. 250, 000 MT - CALCIUM NITRATE GRANULAR FERTI (1. 250, 000MT NITRATO DE CALCIO GRANULAR GRAU NCM: 3102. 60. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWPOA23072Z,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,600 BAG, ,753.6,753600 K,166000,15101030,Parsed: 3102.60.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 600 BAGS OF 25 KG IN 600 BIG BAGS OF 1. 250 KG (SACOS DE 25KG EM 600 SUPER SACOS DE 1. 250 KG 750, 000 MT - CALCIUM NITRATE GRANULAR FERTILI (750, 000MT NITRATO DE CALCIO GRANULAR GRAU FE NCM: 3102. 60. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWPOA23072AE,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,160 BAG, ,201.12,201120 K,52700,15101010,Parsed: 2833.21.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 160 BAGS OF 25 KGS IN 160 BIG BAGS OF 1. 250 KG (SACOS DE 25KGS EM 160 SUPER SACOS DE 1. 250 K 200, 000 MT - MAGNESIUM SULPHATE HEPTAHYDRATE (200, 000MT SULFATO DE MAGNESIO HEPTAHIDRATADO NCM: 2833. 21. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPOA23072B,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,89 BAG, ,120.87,120871 K,145000,15101030,Parsed: 3104.30,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 89 BAGS OF 9, 5 KGS IN 89 BIG BAGS OF 1. 349 KGS (SACOS DE 9, 5 KGS EM 89 SUPER SACOS DE 1. 349K 120, 061 MT - POTASSIUM SULPHATE K2O 52% MAX P (120, 0610MT SULFATO DE POTASSIO K2O 52% MAX NCM: 3104. 30. 10 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPOA23072AK,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,32 BAG, ,32.26,32256 K,56800,15101030,Parsed: 3105.20.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 32 BAGS OF 25 KGS IN 32 BIG BAGS OF 1. 000KG (SACOS DE 25KGS EM 32 SUPER SACOS DE 1. 000KG) 32, 000 MT - NPK 18-18-18 - M SOLUMAX WATER SO (32, 000MT NPK 18-18-18 - M SOLUMAX GRAU FERTI NCM: 3105. 20. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWPOA23072AJ,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,32 BAG, ,32.26,32256 K,56800,15101030,Parsed: 3105.20.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 32 BAGS OF 25 KGS IN 32 BIG BAGS OF 1. 000KG (SACOS DE 25KGS EM 32 SUPER SACOS DE 1. 000KG) 32, 000 MT - NPK 15-05-30 - M SOLUMAX WATER SO (32, 000MT NPK 15-05-30 - M SOLUMAX GRAU FERTI NCM: 3105. 20. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWPOA23072AI,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,32 BAG, ,32.26,32256 K,56800,15101030,Parsed: 3105.20.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 32 BAGS OF 25 KGS IN 32 BIG BAGS OF 1. 000KG (SACOS DE 25KGS EM 32 SUPER SACOS DE 1. 000KG) 32, 000 MT - NPK 13-40-13 - M SOLUMAX WATER SO (32, 000MT NPK 13-40-13 - M SOLUMAX GRAU FERTI NCM: 3105. 20. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWPOA23072AA,Simple,3/23/2025,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS
RUA ALEXANDRE RICARDO RODRIGUES DE
LOTE II DA GLEBA C1 - QUADRA C1 - E
IGARASSU - PE A   BRAZIL / CEP: 53","MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR AGRO COM E IMP DE INSUMOS
MANUCHAR AGRO COM E IMP DE INSUMOS, RUA ALEXANDRE RICARDO RODRIGUES DE, LOTE II DA GLEBA C1 - QUADRA C1 - E, IGARASSU - PE A   BRAZIL / CEP: 53",Belgium,Brazil,,,"Houston, Galveston",Southwest Region,"Zhanjiang, China",China,CNZHE,POPLAR ARROW,2501,9235141,32 BAG, ,32.26,32256 K,56800,15101030,Parsed: 3105.20.00,"CHEMICALS NON-HAZARDOUS IN BAGS Description: 32 BAGS OF 25 KGS IN 32 BIG BAGS OF 1. 000KG (SACOS DE 25KGS EM 32 SUPER SACOS DE 1. 000KG) 32, 000 MT - NPK 07-12-40 - M SOLUMAX WATER SO (32, 000MT NPK 07-12-40 - M SOLUMAX GRAU FERTI NCM: 3105. 20. 00 FREIGHT: 36, 45 / MT FIOS, FREE IN/FREE OUT SHIPPED ON BOARD, FREIGHT PAYABLE AS PER CHAR PACKING DUST/ DIRT STAINED PARTLY BEFORE LOAD Marks: NO MARKS",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWHER17606D,Simple,8/26/2024,"MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium","SHIJIAZHUANG RUIYI FEED CO.,LTD.
SHIJIAZHUANG RUIYI FEED CO.,LTD. DE
VELOPMENT ZONE,XINLE,SHIJIAZHUANG H
EBEI PROVINCE,CHINA",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR NV
Rietschoorvelden 20, Antwerp, 2170, Belgium",China,Belgium,,,California Ports,Pacific Region,"Tsingtao, China",China,CNTAO,STAR HERDLA,2406,9071557,60 BAG,60 X,60.24,60240 K,68700,15101010,Classified: 2835.25,FERTILIZER IN BIG BAGS Description: 60 60 BAGS DICALCIUM PHOSPHATE N/M SIXTY BAGS ONLY Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17605I,Simple,8/26/2024,"MANUCHAR N.V.
Rietschoorvelden 20
Antwerp
2170
Belgium","SHANDONG LVFENG FERTILIZER CO.,LTD
SHANDONG LVFENG FERTILIZER CO.,LTD
ADD: NO.96 JINJING ROAD ,ZIBO CITY
TEL:+86-533-2182599 FAX:+86-533-21
8",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR N.V.
Rietschoorvelden 20, Antwerp, 2170, Belgium",China,Belgium,,,California Ports,Pacific Region,"Tsingtao, China",China,CNTAO,STAR HERDLA,2406,9071557,100 BAG,100 X,100.5,100500 K,175000,20106020,Classified: 7318.15,FERTILIZER IN BIG BAGS Description: 100 300 BAGS NPK12-12-17+8S+2M GO+0. 02B+0. 02ZN N/M SAY TOTAL ONE HUNDRED BAGS ONLY Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWHER17605J,Simple,8/26/2024,"MANUCHAR N.V.
Rietschoorvelden 20
Antwerp
2170
Belgium","SHANDONG LVFENG FERTILIZER CO.,LTD
SHANDONG LVFENG FERTILIZER CO.,LTD
ADD: NO.96 JINJING ROAD ,ZIBO CITY
TEL:+86-533-2182599 FAX:+86-533-21
8",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR N.V.
Rietschoorvelden 20, Antwerp, 2170, Belgium",China,Belgium,,,California Ports,Pacific Region,"Tsingtao, China",China,CNTAO,STAR HERDLA,2406,9071557,20 BAG,20 X,20.1,20100 K,34900,20106020,Classified: 7318.15,FERTILIZER IN BIG BAGS Description: 20 20 BAGS NPK18-18-18+TE N/M SAY TOTAL TWENTY BAGS ONLY Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWHER17249A,Simple,8/26/2024,"MANUFACTURAS SILICEAS S.A.S
MANUFACTURAS SILICEAS S.A.S NIT: 86
0.033.740-4 CALLE 3 NO.7-40. MOSQUE
RA,CUNDINAMA ENTREGA DIRECTA","PANCHEM INTERNATIONAL TRADING AND I
PANCHEM INTERNATIONAL TRADING AND I
20/F, KUANGSHI INTA  L PLAZA, TANG
G TEL:00862266282658 FAX:0086226628
26",MANUCHAR NV,MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUFACTURAS SILICEAS S.A.S
MANUFACTURAS SILICEAS S.A.S NIT: 86, 0.033.740-4 CALLE 3 NO.7-40. MOSQUE, RA,CUNDINAMA ENTREGA DIRECTA",China,Colombia,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,2000 BAG, ,2002,2002000 K,196000,15101010,Parsed: 2833.11,"FERTILIZER IN BIG BAGS Description: 2000 BAGS N/M 2000 BAGS SODIUM SULPHATE ANHYDROU HS CODE: 2833110000 N. W.: 2000000 KGS G. W.: 2002000 DISCHARGE PORT AGENT: NAVES S. A. S. CALLE 8 NO. 2B-22 OF. 401 BUENAVENTURA, COLOMBIA MOBILE 57 3212061195 EMAIL: OPRBUN@NAVESCOLOMBIA. COM DOCUMENTACIONBUN@NAVESCOLOMBIA. COM CLEAN ON BOARD FREIGHT PREPAID SAY TWO THOUSAND BAGS ONLY. Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
